title	director	cast	country	rating	listed_in	description	show_id	release_year	date_added	duration
The Healing Powers of Dude		Jace Chapman, Larisa Oleynik, Tom Everett Scott, Steve Zahn, Mauricio Lara, Sophie Kim, Laurel Emory		TV-G	Kids' TV, TV Comedies, TV Dramas	When an 11-year-old boy with social anxiety disorder starts middle school, he finds strength in a scruffy emotional support dog named Dude.	80239306	2020		1
Historia de un clan		Alejandro Awada, Cecilia Roth, Chino Darín, Nazareno Casero, Tristán, Gustavo Garzón, Pablo Cedrón, María Soldi, Rita Pauls, Victoria Almeida, Benjamín Alfonso	Argentina	TV-MA	Crime TV Shows, International TV Shows, Spanish-Language TV Shows	This drama based on a true story follows the Puccios, a criminal family who kidnaps wealthy people and holds them hostage in their home.	80125593	2015		1
Back with the Ex				TV-MA	International TV Shows, Reality TV, Romantic TV Shows	New beginnings or old baggage? Four singles have one chance to reignite romance with an ex – or leave the past behind for good.	80210995	2018		1
Sex Education		Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey, Connor Swindells, Kedar Williams-Stirling, Alistair Petrie	United States, United Kingdom	TV-MA	British TV Shows, International TV Shows, TV Comedies	Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.	80197526	2019		1
AJ and the Queen		RuPaul Charles, Izzy G., Michael-Leon Wooley, Josh Segarra, Katerina Tannenbaum, Tia Carrere	United States	TV-14	TV Comedies, TV Dramas	While traveling across the country in a run-down RV, drag queen Ruby Red discovers an unlikely sidekick in AJ: a tough-talking 10-year-old stowaway.	80237329	2020		1
Giri / Haji		Takehiro Hira, Kelly Macdonald, Yosuke Kubozuka, Will Sharpe, Aoi Okuyama, Masahiro Motoki, Yuko Nakamura, Mitsuko Oka, Anna Sawai, Charlie Creed-Miles	United Kingdom	TV-MA	British TV Shows, Crime TV Shows, International TV Shows	Family duty sends a lawman to London to look for his mob-assassin brother as a yakuza war threatens to engulf Tokyo. Trust is even tougher to find.	80190519	2019		1
Jamtara - Sabka Number Ayega	Soumendra Padhi	Amit Sial, Dibyendu Bhattacharya, Aksha Pardhasany, Sparsh Shrivastava, Monika Panwar, Anshumaan Pushkar	India	TV-MA	Crime TV Shows, International TV Shows, TV Dramas	A group of small-town young men run a lucrative phishing operation, until a corrupt politician wants in on their scheme – and a cop wants to fight it.	81183491	2020		1
Medical Police		Erinn Hayes, Rob Huebel, Malin Akerman, Rob Corddry, Lake Bell, Sarayu Blue, Ken Marino, Fred Melamed, Tom Wright, Jason Schwartzman, Eric Nenninger, Megan Le, Beth Dover, Zandy Hartig, Brian Huskey, Michael Cera	United States	TV-MA	Crime TV Shows, TV Action & Adventure, TV Comedies	Doctors Owen Maestro and Lola Spratt leave Childrens Hospital and join a secret arm of the CDC to investigate and destroy a deadly global virus.	81011449	2020		1
Until Dawn		Ahmed Sylla, Alban Ivanov, Ornella Fleury, Natoo, Carlito, Mcfly, Djimo, Lola Dubini, Noom Diawara, Tania Dutel, Hakim Jemili, Jason Brokerss, Bérengère Krief, Thomas Vandenberghe, Monsieur Poulpe, Jhon Rachid, Audrey Pirault, Jeanfi Janssens, Fadily Camara, Laurie Peret, Issa Doumbia, Anne-Sophie Girard, Elhadj Gaye, Guillaume Bats	France	TV-MA	International TV Shows, Reality TV, TV Comedies	France’s funniest comics carry out ghastly tasks as they try to outlast – and outwit – one another while overnighting in haunted locations.	81074060	2020		1
Shaka Zulu		Edward Fox, Robert Powell, Trevor Howard, Fiona Fullerton, Christopher Lee, Henry Cele, Dudu Mkhize, Roy Dotrice, Gordon Jackson, Kenneth Griffith, Conrad Magwaza, Patrick Ndlovu, Roland Mqwebu, Gugu Nxumalo, Tu Nokwe	Italy, South Africa, West Germany, Australia, United States	TV-14	TV Dramas	This miniseries recounts the early 19th-century conflict between the expanding British Empire in Africa and Shaka, the leader of the vast Zulu Nation.	70202600	1986		1
When Heroes Fly		Tomer Kapon, Ninet Tayeb, Michael Aloni, Nadav Nates, Moshe Ashkenazi, Vanessa Chaplot, Yael Sharoni, Gil Frank, Oded Fehr, Dan Mor	Israel	TV-MA	International TV Shows, TV Action & Adventure, TV Dramas	Years after a bitter falling out, four Israeli military veterans reunite and travel to Colombia in search of a loved one they'd presumed to be dead.	81021294	2018		1
We're Lalaloopsy		Mariee Devereux, Kazumi Evans, Maryke Hendrikse, Matt Hill, Diana Kaarina, Jocelyne Loewen, Sabrina Pitre	United States	TV-Y	Kids' TV, TV Comedies	The Lalaloopsy gang and their adorable pets know every day is a perfect day to celebrate the magic of friendship, creativity and collaboration.	80095649	2017		1
Because This Is My First Life		Lee Min-ki, Jung So-min, Esom, Kim Ga-eun, Park Byung-eun, Kim Min-seok, Moon Hee-kyung, Kim Byung-ok, Kim Sun-young	South Korea	TV-14	International TV Shows, Korean TV Shows, Romantic TV Shows	Two housemates get married for financial convenience, but discover nothing is simple when it comes to demanding in-laws, or facing their growing bond.	81167119	2017		1
Cells at Work!		Kana Hanazawa, Tomoaki Maeno, Daisuke Ono, Kikuko Inoue, Maria Naganawa, Takahiro Sakurai, Saori Hayami, Nobuhiko Okamoto, Yuichi Nakamura, Shoya Chiba, M・A・O, Ayako Kawasumi, Aya Endo, Hiroyuki Yoshino, Mamiko Noto	Japan	TV-14	Anime Series, Teen TV Shows	One newcomer red blood cell just wants to do her job. Between bacteria incursions and meeting a certain white blood cell, she's got a lot to learn!	81028791	2018		1
Chhota Bheem Kung Fu Dhamaka Series		Pinky Pal Rajput, Sonal Kaushal, Julie Tejwani, Jigna Bharadhwaj, Shaily Dubey, Rajesh Kava, Ghanshyam Shukla, Anamaya Verma, Mohit Sinha, Vaibhav Thakkar		TV-Y7	Kids' TV	From kung fu battles to run-ins with bandits, life in an empire far away from home is an endless adventure for Chhota Bheem and his buddies.	81184681	2019		1
Live Up To Your Name		Kim Nam-gil, Kim Ah-joong, Yoo Min-kyu, Moon Ga-young, Yun Ju-sang, Um Hyo-sup, An Seok-hwan, Lee Dae-yeon, Oh Dae-whan		TV-14	International TV Shows, Korean TV Shows, TV Dramas	Pushed together by twists of time, a Joseon doctor and a cardiac surgeon overcome their 400-year divide as they learn and heal through each other.	81167137	2017		1
Nisman: The Prosecutor, the President, and the Spy	Justin Webster			TV-MA	Crime TV Shows, Docuseries, International TV Shows	This docuseries details the suspicious death of Alberto Nisman, investigator of the 1994 bombing of the Argentine Israelite Mutual Association building.	80197991	2020		1
Reply 1988		Lee Hye-ri, Park Bo-gum, Ryu Jun-yeol, Ko Kyoung-pyo, Lee Dong-hwi, Ryu Hye-young, Sung Dong-il, Lee Il-hwa		TV-14	International TV Shows, Korean TV Shows, Romantic TV Shows	Take a nostalgic trip back to the late 1980s through the lives of five families and their five teenage kids living in a small neighborhood in Seoul.	80188351	2015		1
Save Me		Taecyeon, Seo Ye-ji, Cho Seong-ha, Woo Do‑hwan, Son Byung-ho, Kim Kwang-gyoo, Yun Yoo-sun, Park Ji-young, Jeong Hae-gyoon, Jang Hyeok-jin		TV-14	International TV Shows, Korean TV Shows, TV Dramas	Four young men come to the rescue of a former classmate whose family has been sucked into the clutches of a religious cult and its charismatic leader.	81167101	2017		1
Spinning Out		Kaya Scodelario, January Jones, Will Kemp, Willow Shields, Evan Roderick, David James Elliott, Sarah Wright Olsen, Svetlana Efremova, Amanda Zhou, Mitchell Edwards, Kaitlyn Leeb, Johnny Weir		TV-MA	TV Dramas	A figure skating Olympic hopeful struggles to balance love, family and fragile mental health as her dream of winning takes a dizzying hold.	80201590	2020		1
The Bride of Habaek		Shin Sae-kyeong, Nam Joo-hyuk, Lim Ju-hwan, Krystal Jung, Gong Myoung, Lee Gyoung-young, Yang Dong-geun		TV-14	International TV Shows, Korean TV Shows, Romantic TV Shows	When a quest for divine stones in the human world goes awry, the water god Habaek seeks help from a psychiatrist predestined to serve him.	81012487	2017		1
The Circle		Michelle Buteau		TV-MA	Reality TV	Status and strategy collide in this social experiment and competition show where online players flirt, befriend and catfish their way toward $100,000.	81044551	2020		1
Good Girls		Christina Hendricks, Retta, Mae Whitman, Matthew Lillard, Reno Wilson, Manny Montana, Lidya Jewett, Izzy Stannard, David Hornsby, Zach Gilford	United States	TV-14	Crime TV Shows, TV Comedies, TV Dramas	Three suburban moms orchestrate a local grocery store heist to escape financial ruin and establish independence – together.	80177342	2018		1
Tidying Up with Marie Kondo		Marie Kondo	United States	TV-PG	Reality TV	In a series of inspiring home makeovers, world-renowned tidying expert Marie Kondo helps clients clear out the clutter – and choose joy.	80209379	2019		1
Fullmetal Alchemist		Romi Park, Rie Kugimiya, Megumi Toyoguchi, Miyoko Aso, Toru Okawa, Michiko Neya, Kenji Utsumi, Hidekatsu Shibata, Ryotaro Okiayu, Yuko Sato, Yasuhiro Takato, Keiji Fujiwara, Yasunori Matsumoto, Tomoyuki Shimura, Tetsu Shiratori, Takehiro Murozono, Makoto Nagai, Mayumi Yamaguchi, Kotono Mitsuishi, Satomi Koorogi	Japan	TV-14	Anime Series, International TV Shows	Brothers Edward and Alphonse use alchemy to resurrect their mother, but they unleash a chemical reaction that tears apart their bodies.	70204980	2003		1
Pokémon: Indigo League		Rica Matsumoto, Ikue Otani, Mayumi Iizuka, Megumi Hayashibara, Unsho Ishizuka	Japan	TV-Y	Anime Series, Kids' TV	Explore the world of Pokémon with 10-year-old Ash Ketchum and his partner, Pikachu, as they aim for Ash's ultimate goal: becoming a Pokémon master.	70297439	2000		1
The Frozen Dead		Charles Berling, Julia Piaton, Pascal Greggory, Nina Meurisse, Lubna Azabal, Anne Le Ny, Robinson Stévenin, Robert Plagnol, Sophie Guillemin	France	TV-MA	Crime TV Shows, International TV Shows, TV Dramas	A grisly find atop a mountain in the French Pyrenees leads investigator Martin Servaz into a twisted dance with a serial killer in this icy thriller.	80186459	2017		1
We Speak Dance		Vandana Hart	United States	TV-14	Docuseries	Trained dancer Vandana Hart travels the world to learn traditional and urban dance styles from the local experts who know them best.	80194813	2018		1
A Good Wife		Tien Hsin, Christopher Lee, Darren Chiu, Shara Lin, Blaire Chang, Xi Man-Ning, Chu De-Kang	Taiwan	TV-14	International TV Shows, Romantic TV Shows, TV Dramas	As her seemingly idyllic life begins to crumble, a lonely woman in a restrictive marriage starts an affair with a gentle bookstore owner.	80140364	2013		1
An Innocent Mistake		Jason Wang, Mathilde Lin, Mo Tzu Yi, Xi Man-Ning, Lin Mei-hsiu, Kelly Huang, Joy Pan	Taiwan	TV-14	International TV Shows, Romantic TV Shows, TV Dramas	Raised by three mothers, a self-assured teen in turmoil meets the father figure she never had. But she also stands to drive the man and his son apart.	80140617	2012		1
Ex-Boyfriend		Tony Yang, Nana Lee, Jerry Huang, Liao Yi Chiao	China	TV-14	International TV Shows, Romantic TV Shows, TV Comedies	Still haunted by the traumatic event that ended her high school romance, a young professional gets a new subordinate: her former sweetheart.	80140939	2011		1
Happy 300 Days		Tammy Chen, Kingone Wang, Hsieh Kun Da, Chuang Kai-Hsun, Jenna Wang	Taiwan	TV-14	International TV Shows, Romantic TV Shows, TV Comedies	An unexpected pregnancy sends a woman back to her hometown to share a house with three nice guys. Each has problems, but each would make a great dad.	80140490	2013		1
In Between		Janel Tsai, Johnny Lu, Darren Chiu, Vivi Lee, Patrick Lee, Fan Kuang-yao	Taiwan	TV-14	International TV Shows, Romantic TV Shows, TV Comedies	An author having trouble finishing his new romance novel because he's lost faith in love regains his romantic soul after meeting a flight attendant.	80140938	2012		1
What Is Love?		Chris Wu, Jade Chou, Duncan Lai, King Chin, Kimi Hsia, Gina Lim	Taiwan	TV-14	International TV Shows, Romantic TV Shows, TV Comedies	A 32-year-old romantic looking for a long-term, monogamous relationship meets a handsome bad boy who only believes in one-night stands.	80141033	2012		1
Who's the One		Tien Hsin, Weber Yang, Pink Yang, Johnny Lu, Amanda Chou, Xiu Qin	Taiwan	TV-14	International TV Shows, Romantic TV Shows, TV Comedies	A doctor performs plastic surgery on a fat man who's been jilted, and continues his transformation by turning him into a handsome, desirable man.	80140362	2011		1
Mighty Morphin Alien Rangers		Julia Jordan, Matthew Sakimoto, Sicily Johnson, Michael O'Laskey II, Michael R. Gotto, Justin Timsit, Rajia Baroudi, David Bacon, Jim Gray, Karim Prince, Alan Palmer, Tom Wyner, Barbara Goodson, Robert Axelrod, Kerrigan Mahan	United States, Japan	TV-Y7-FV	Kids' TV	Visitors arrive from space to help Red Ranger and his squad – temporarily stripped of their powers – fight against Lord Zedd and Rita Repulsa.	70213235	1996		1
Ninja Turtles: The Next Mutation		Jarred Blancard, Mitchell A. Lee Yuen, Dean Choe, Richard Yee, Gabe Khouth, Nicole Parker, Kirby Morrow, Matt Hill, Jason Gray-Stanford, Michael Dobson, Lalainia Lindbjerg, Shishir Inocalla, Fiona Scott, Stephen Mendel, Larry Lam, Geoff Wong	Canada, United States	TV-Y7-FV	Kids' TV, TV Comedies	Everyone's favorite teenage mutants are back in live action to fight crime with help from a new ninja turtle – a female named Venus De Milo.	70221672	1997		1
Power Rangers Dino Thunder		James Napier, Kevin Duhaney, Emma Lahana, Jason David Frank, Jeffrey Parazzo, Katrina Devine, Tom Hern, Miriama Smith, Latham Gaines, James Gaylyn	United States	TV-Y7-FV	Kids' TV	Dr. Tommy Oliver returns when his students discover the Dino Gems that morph them into the Dino Power Rangers, enabling them to stop the evil Mesogog.	70213085	2004		1
Power Rangers in Space		Tracy Lynn Cruz, Patricia Ja Lee, Christopher Khayman Lee, Justin Nimmo, Roger Velasco, Selwyn Ward, Melody Perkins, Paul Schrier, Jason Narvy, Mioko Fujiwara, Soichiro Hoshi, Yuji Kishimoto, Sanae Kobayashi, Tsuyoshi Takishita, Lex Lang	United States, France, Japan	TV-Y7-FV	Kids' TV	With the Power Chamber destroyed, former Turbo Power Rangers T.J., Cassie, Carlos and Ashley search for Zordon, who's been abducted by Dark Specter.	70213084	1998		1
Power Rangers Jungle Fury		Jason Smith, Aljin Abella, Anna Hutchison, David de Lautour, Nikolai Nikolaeff, Sarah Thomson, Bede Skinner, Holly Shanahan, Kelson Henderson, Richard Simpson, Cameron Rhodes, Elisabeth Easther, Mark Wright, Derek Judge	United States	TV-Y7-FV	Kids' TV	The Power Rangers travel to California in search of their new master and find him running a pizza parlor – so they join the staff to be trained.	70213083	2008		1
Power Rangers Lightspeed Rescue		Michael Chaturantabut, Sean CW Johnson, Alison MacInnis, Keith Robinson, Sasha Craig, Monica Louwerens, Rhett Fisher, Ron Roggé, Jennifer L. Yen, Kim Strauss	United States, France, Japan	TV-Y7-FV	Kids' TV	As demons rumble from their graves beneath Mariner Bay, a government organization called Lightspeed recruits five civilians to defend the city.	70213082	2000		1
